stride,sum,time_msec,rate_MB_s
1,1000000.000000,3.468000,2199.940753
2,1000000.000000,3.319000,2298.702781
3,1000000.000000,3.605000,2116.336902
4,1000000.000000,3.635000,2098.870573
5,1000000.000000,3.980000,1916.933299
6,1000000.000000,4.105000,1858.561396
7,1000000.000000,4.576000,1667.262791
8,1000000.000000,4.903000,1556.066598
9,1000000.000000,5.250000,1453.218006
10,1000000.000000,5.687000,1341.549944
11,1000000.000000,6.317000,1207.755981
12,1000000.000000,6.412000,1189.861904
13,1000000.000000,6.828000,1117.368853
14,1000000.000000,7.059000,1080.803872
15,1000000.000000,7.239000,1053.929345
16,1000000.000000,8.402000,908.045053
17,1000000.000000,8.655000,881.501390
18,1000000.000000,8.582000,888.999596
19,1000000.000000,8.774000,869.545764
20,1000000.000000,9.078000,840.426804
